val_loss,epoch,step,train_loss
0.017244068905711174,0,30937,
,1,30937,0.05172218754887581
0.014214585535228252,1,61875,
,2,61875,0.014902893453836441
0.012237089686095715,2,92813,
,3,92813,0.01250331662595272
0.010794642381370068,3,123751,
,4,123751,0.01103577483445406
0.010247171856462955,4,154689,
,5,154689,0.010076683945953846
0.009406976401805878,5,185627,
,6,185627,0.00936783105134964
0.009300095029175282,6,216565,
,7,216565,0.008790941908955574
0.009281848557293415,7,247503,
,8,247503,0.008367282338440418
0.00867009349167347,8,278441,
,9,278441,0.007952037267386913
0.008837712928652763,9,309379,
,10,309379,0.007591837551444769
0.008660862222313881,10,340317,
,11,340317,0.007302095182240009
0.008501783013343811,11,371255,
,12,371255,0.0070048486813902855
0.008434158749878407,12,402193,
,13,402193,0.006739560514688492
0.008709059096872807,13,433131,
,14,433131,0.006521421950310469
0.008510518819093704,14,464069,
,15,464069,0.006275312975049019
0.008173751644790173,15,495007,
,16,495007,0.006093599833548069
0.008232126012444496,16,525945,
,17,525945,0.005891014821827412
0.008176103234291077,17,556883,
,18,556883,0.005718716885894537
0.00797891803085804,18,587821,
,19,587821,0.005563476122915745
0.008739020675420761,19,618759,
,20,618759,0.0054077813401818275
0.007993779145181179,20,649697,
,21,649697,0.005271011032164097
0.007933167740702629,21,680635,
,22,680635,0.005143812857568264
0.007946670986711979,22,711573,
,23,711573,0.0050096455961465836
0.008557782508432865,23,742511,
,24,742511,0.0048910160548985004
0.008069135248661041,24,773449,
,25,773449,0.00477375416085124
0.00733791571110487,25,804387,
,26,804387,0.003902132622897625
0.0073007820174098015,26,835325,
,27,835325,0.0036234529688954353
0.007351674139499664,27,866263,
,28,866263,0.0034745975863188505
0.007360508199781179,28,897201,
,29,897201,0.0033586190547794104
0.007300947792828083,29,928139,
,30,928139,0.0032527600415050983
0.007346434984356165,30,959077,
,31,959077,0.0031001800671219826
0.007360516116023064,31,990015,
,32,990015,0.0030552782118320465
0.007362766657024622,32,1020953,
,33,1020953,0.0030226351227611303
