val_loss,epoch,step,train_loss
0.015092027373611927,0,47953,
,1,47953,0.03682856634259224
0.011815961450338364,1,95907,
,2,95907,0.013147643767297268
0.01035965047776699,2,143861,
,3,143861,0.010969304479658604
0.010319883935153484,3,191815,
,4,191815,0.00976809486746788
0.009037747979164124,4,239769,
,5,239769,0.008994095027446747
0.00903584249317646,5,287723,
,6,287723,0.008433450944721699
0.008492623455822468,6,335677,
,7,335677,0.007972180843353271
0.008907114155590534,7,383631,
,8,383631,0.007591987960040569
0.008546232245862484,8,431585,
,9,431585,0.0072784991934895515
0.007877144031226635,9,479539,
,10,479539,0.00699729984626174
0.008234144188463688,10,527493,
,11,527493,0.006731243338435888
0.00797351449728012,11,575447,
,12,575447,0.006503984332084656
0.007844498381018639,12,623401,
,13,623401,0.0062872422859072685
0.007940026000142097,13,671355,
,14,671355,0.006067473441362381
0.007735371123999357,14,719309,
,15,719309,0.005882482510060072
0.00776243768632412,15,767263,
,16,767263,0.005706415977329016
0.008314753882586956,16,815217,
,17,815217,0.005540766287595034
0.007659051567316055,17,863171,
,18,863171,0.005402307026088238
0.007796024903655052,18,911125,
,19,911125,0.005266325082629919
0.007779123727232218,19,959079,
,20,959079,0.005141139030456543
0.008033068850636482,20,1007033,
,21,1007033,0.0050078085623681545
0.007467996329069138,21,1054987,
,22,1054987,0.004879266023635864
0.007358255796134472,22,1102941,
,23,1102941,0.004774722270667553
0.007568165194243193,23,1150895,
,24,1150895,0.004667913541197777
0.007565618027001619,24,1198849,
,25,1198849,0.004587749019265175
0.007644986268132925,25,1246803,
,26,1246803,0.004500320181250572
0.007641883101314306,26,1294757,
,27,1294757,0.004423900973051786
0.006999503821134567,27,1342711,
,28,1342711,0.0036863733548671007
0.006965874694287777,28,1390665,
,29,1390665,0.003432392841205001
0.006921316962689161,29,1438619,
,30,1438619,0.0033029948826879263
0.007004554849117994,30,1486573,
,31,1486573,0.003200310282409191
0.006967348046600819,31,1534527,
,32,1534527,0.0031113196164369583
0.00692378543317318,32,1582481,
,33,1582481,0.0030334657058119774
0.006931980140507221,33,1630435,
,34,1630435,0.0029605089221149683
0.0070513468235731125,34,1678389,
,35,1678389,0.0028400118462741375
