val_loss,epoch,step,train_loss
0.14485247433185577,0,15468,
,1,15468,0.3662301003932953
0.11935976147651672,1,30937,
,2,30937,0.13095536828041077
0.12099137157201767,2,46406,
,3,46406,0.12544509768486023
0.13715247809886932,3,61875,
,4,61875,0.12124122679233551
0.11099465936422348,4,77344,
,5,77344,0.11879060417413712
0.11648211628198624,5,92813,
,6,92813,0.11681964248418808
0.1143176332116127,6,108282,
,7,108282,0.11478834599256516
0.11171463876962662,7,123751,
,8,123751,0.11327913403511047
0.10673562437295914,8,139220,
,9,139220,0.11153726279735565
0.12604567408561707,9,154689,
,10,154689,0.11050599813461304
0.11299935728311539,10,170158,
,11,170158,0.10907028615474701
0.10602247714996338,11,185627,
,12,185627,0.10808645188808441
0.10703527927398682,12,201096,
,13,201096,0.10718802362680435
0.11393896490335464,13,216565,
,14,216565,0.10606306791305542
0.10877011716365814,14,232034,
,15,232034,0.10524377971887589
0.12521865963935852,15,247503,
,16,247503,0.10429954528808594
0.10060583055019379,16,262972,
,17,262972,0.09691693633794785
0.10102187097072601,17,278441,
,18,278441,0.09618771821260452
0.10088513791561127,18,293910,
,19,293910,0.0957702249288559
0.1069299653172493,19,309379,
,20,309379,0.09533166885375977
0.10219895094633102,20,324848,
,21,324848,0.09499324858188629
0.10128942131996155,21,340317,
,22,340317,0.09308812022209167
0.10044535994529724,22,355786,
,23,355786,0.09291099011898041
0.10042794793844223,23,371255,
,24,371255,0.09279279410839081
0.10046587139368057,24,386724,
,25,386724,0.09268821030855179
0.10059777647256851,25,402193,
,26,402193,0.09253069013357162
0.10035287588834763,26,417662,
,27,417662,0.0924539640545845
0.10034482926130295,27,433131,
,28,433131,0.09234070032835007
0.1009480431675911,28,448600,
,29,448600,0.092275470495224
0.10194327682256699,29,464069,
,30,464069,0.09218023717403412
0.10064204037189484,30,479538,
,31,479538,0.09211790561676025
0.10046428442001343,31,495007,
,32,495007,0.0919620469212532
0.10067242383956909,32,510476,
,33,510476,0.09192360937595367
0.10093989223241806,33,525945,
,34,525945,0.09180101007223129
0.1005861684679985,34,541414,
,35,541414,0.09169001132249832
