val_loss,epoch,step,train_loss
0.12898103892803192,0,47953,
,1,47953,0.2693747282028198
0.1082584336400032,1,95907,
,2,95907,0.11687681823968887
0.10150488466024399,2,143861,
,3,143861,0.11079882830381393
0.10329484194517136,3,191815,
,4,191815,0.10705732554197311
0.15069054067134857,4,239769,
,5,239769,0.10404226183891296
0.09596966207027435,5,287723,
,6,287723,0.10165058821439743
0.09926771372556686,6,335677,
,7,335677,0.09995818883180618
0.10540562868118286,7,383631,
,8,383631,0.09842019528150558
0.10925686359405518,8,431585,
,9,431585,0.097110815346241
0.20329540967941284,9,479539,
,10,479539,0.09561529010534286
0.09209401160478592,10,527493,
,11,527493,0.08861920982599258
0.10343176871538162,11,575447,
,12,575447,0.08774904906749725
0.09324543178081512,12,623401,
,13,623401,0.08713851124048233
0.09929801523685455,13,671355,
,14,671355,0.08663592487573624
0.09614523500204086,14,719309,
,15,719309,0.08609865605831146
0.09593892097473145,15,767263,
,16,767263,0.08423198014497757
0.09719901531934738,16,815217,
,17,815217,0.08398856222629547
0.0918150246143341,17,863171,
,18,863171,0.08382341265678406
0.09480311721563339,18,911125,
,19,911125,0.08371302485466003
0.09535890072584152,19,959079,
,20,959079,0.08353982865810394
0.09358463436365128,20,1007033,
,21,1007033,0.08340460807085037
0.09177432954311371,21,1054987,
,22,1054987,0.0832710936665535
0.0948932096362114,22,1102941,
,23,1102941,0.0831497386097908
0.0921221673488617,23,1150895,
,24,1150895,0.08301184326410294
0.09325037896633148,24,1198849,
,25,1198849,0.0828806683421135
